Flow 1,Flow 2,Flow 3,Flow 4,Flow 5,Flow 6,Flow 7,Flow 8,Flow 9,Flow 10,Flow 11,Flow 12,Flow 13,Flow 14,Flow 15,Flow 16,Flow 17,Flow 18,Flow 19,Flow 20,Flow 21,Flow 22,Flow 23,Flow 24,Flow 25,Flow 26,Flow 27,Flow 28,Flow 29,Flow 30
no,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,no
no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,no
no,yes,yes,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes
no,yes,yes,no,yes,no,no,no,no,no,*,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,no
no,yes,yes,no,yes,no,*,*,no,no,*,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,*,yes,no,no
